sample_name,rundate,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint,Pool_Timepoint,date,time,datetime,plot,Group
TMP_C_F4_20220518,20220527,8.13,0.47,NA,NA,TMP,C,F4,NA,NA,2022-05-18,11:59:00,2022-05-18T18:59:00Z,Control,2022-05-01
TMP_C_H6_20220518,20220527,13.92,0.47,NA,NA,TMP,C,H6,NA,NA,2022-05-18,11:59:00,2022-05-18T18:59:00Z,Control,2022-05-01
TMP_C_D5_20220518,20220527,18.36,0.66,NA,NA,TMP,C,D5,NA,NA,2022-05-18,11:59:00,2022-05-18T18:59:00Z,Control,2022-05-01
TMP_FW_C3_20220518,20220527,7.01,0.33,NA,NA,TMP,FW,C3,NA,NA,2022-05-18,11:59:00,2022-05-18T18:59:00Z,Freshwater,2022-05-01
TMP_FW_H6_20220520,20220527,9.03,0.45,NA,NA,TMP,FW,H6,NA,NA,2022-05-20,11:59:00,2022-05-20T18:59:00Z,Freshwater,2022-05-01
TMP_FW_E3_20220518,20220527,13.84,0.6,NA,NA,TMP,FW,E3,NA,NA,2022-05-18,11:59:00,2022-05-18T18:59:00Z,Freshwater,2022-05-01
TMP_SW_20220523_POOL,20220601,13.01,0.51,pooled sample,pooled sample,TMP,SW,POOL,NA,NA,2022-05-23,11:59:00,2022-05-23T18:59:00Z,Estuarine-water,2022-05-01
TMP_FW_20220523_POOL,20220601,9.16,0.5,pooled sample,pooled sample,TMP,FW,POOL,NA,NA,2022-05-23,11:59:00,2022-05-23T18:59:00Z,Freshwater,2022-05-01
TMP_C_20220523_POOL,20220601,12.65,0.64,pooled sample,pooled sample,TMP,C,POOL,NA,NA,2022-05-23,11:59:00,2022-05-23T18:59:00Z,Control,2022-05-01
TMP_C_PW_H6_15cm_20220615,20220629,17.41,0.66,NA,NA,TMP,C,H6,T0,NA,2022-06-15,11:59:00,2022-06-15T18:59:00Z,Control,2022-06-15
TMP_C_SW_F6_15cm_20220615,20220629,13.77,0.57,NA,NA,TMP,C,F6,T0,NA,2022-06-15,11:59:00,2022-06-15T18:59:00Z,Control,2022-06-15
TMP_FW_PW_H3_15cm_20220615,20220629,5.06,0.28,NA,blank is ≥ 25% of sample value,TMP,FW,H3,T0,NA,2022-06-15,11:59:00,2022-06-15T18:59:00Z,Freshwater,2022-06-15
TMP_C_PW_H3_15cm_20220615,20220629,21.45,0.59,NA,NA,TMP,C,H3,T0,NA,2022-06-15,11:59:00,2022-06-15T18:59:00Z,Control,2022-06-15
TMP_SW_PW_C6_15cm_20220615,20220629,21.12,0.97,NA,NA,TMP,SW,C6,T0,NA,2022-06-15,11:59:00,2022-06-15T18:59:00Z,Estuarine-water,2022-06-15
TMP_FW_H6_T0,20220629,14.41,0.54,NA,NA,TMP,FW,H6,T0,NA,2022-06-20,10:15:00,2022-06-20T17:15:00Z,Freshwater,2022-06-20
TMP_FW_C6_T0,20220629,8.27,0.36,NA,blank is ≥ 25% of sample value,TMP,FW,C6,T0,NA,2022-06-20,10:15:00,2022-06-20T17:15:00Z,Freshwater,2022-06-20
TMP_FW_I5_T0,20220629,15.67,0.7,NA,NA,TMP,FW,I5,T0,NA,2022-06-20,10:15:00,2022-06-20T17:15:00Z,Freshwater,2022-06-20
TMP_C_POOL_T0,20220629,15.94,0.66,pooled sample,pooled sample,TMP,C,POOL,T0,NA,2022-06-20,09:36:00,2022-06-20T16:36:00Z,Control,2022-06-20
TMP_SW_C3_T1,20220629,15.5,0.93,NA,NA,TMP,SW,C3,T1,NA,2022-06-22,12:47:00,2022-06-22T19:47:00Z,Estuarine-water,2022-06-22
